,Unnamed: 0,period_id,minute,second,outcome,start_x,start_y,end_x,end_y,type_name,FullName,Position,Team,start_frameID
422,422,1,23,34,True,48.09,23.94,51.87,34.82,Pass,Team_B_Player_6,Midfielder,Team_B,1140144
423,423,1,23,35,True,51.87,34.82,33.39,37.47,Pass,Team_B_Player_9,Striker,Team_B,1140163
424,424,1,23,38,True,33.39,37.33,38.12,33.8,Pass,Team_B_Player_3,Defender,Team_B,1140220
425,425,1,23,42,True,44.84,41.96,59.64,62.83,Pass,Team_B_Player_6,Midfielder,Team_B,1140320
426,426,1,23,43,True,59.64,62.83,70.98,54.67,Pass,Team_B_Player_9,Striker,Team_B,1140361
427,427,1,23,46,True,24.88,16.59,24.88,16.59,Ball recovery,Team_A_Player_3,Defender,Team_A,1140439
428,428,1,23,49,False,32.44,20.06,32.44,20.06,Take on,Team_A_Player_3,Defender,Team_A,1140505
429,429,1,23,51,True,66.99,47.46,66.99,47.46,Ball recovery,Team_B_Player_6,Midfielder,Team_B,1140568
430,430,1,23,53,False,70.88,44.47,83.26,37.26,Pass,Team_B_Player_6,Midfielder,Team_B,1140601
431,431,1,23,54,True,27.4,30.06,27.4,30.06,Ball recovery,Team_A_Player_4,Defender,Team_A,1140629
432,432,1,23,56,True,25.1,29.1,32.66,18.97,Pass,Team_A_Player_4,Defender,Team_A,1140673
433,433,1,24,1,True,78.44,57.46,71.5,62.15,Pass,Team_B_Player_9,Striker,Team_B,1140795
434,434,1,24,2,True,71.5,62.15,71.5,62.15,Ball recovery,Team_B_Player_3,Defender,Team_B,1140844
435,435,1,24,2,True,71.5,62.15,68.25,56.51,Pass,Team_B_Player_3,Defender,Team_B,1140844
436,436,1,24,3,True,68.25,56.51,66.04,64.8,Pass,Team_B_Player_6,Midfielder,Team_B,1140847
437,437,1,24,4,True,66.04,64.8,58.8,46.72,Pass,Team_B_Player_3,Defender,Team_B,1140878
438,438,1,24,5,True,58.8,46.44,39.06,38.15,Pass,Team_B_Player_7,Midfielder,Team_B,1140919
439,439,1,24,8,True,40.43,32.98,61.22,5.24,Pass,Team_B_Player_2,Defender,Team_B,1140993
440,440,1,24,11,True,62.79,4.76,57.44,18.63,Pass,Team_B_Player_4,Defender,Team_B,1141047
441,441,1,24,15,True,57.64,19.52,48.19,42.64,Pass,Team_B_Player_7,Midfielder,Team_B,1141154
442,442,1,24,20,True,58.28,54.2,71.61,66.64,Pass,Team_B_Player_1,Defender,Team_B,1141270
443,443,1,24,22,True,71.61,66.23,70.04,59.3,Pass,Team_B_Player_3,Defender,Team_B,1141333
444,444,1,24,23,True,70.04,59.3,71.19,65.21,Pass,Team_B_Player_9,Striker,Team_B,1141345
445,445,1,24,25,True,70.77,65.42,51.34,59.98,Pass,Team_B_Player_3,Defender,Team_B,1141405
446,446,1,24,27,True,51.34,56.44,49.04,30.33,Pass,Team_B_Player_1,Defender,Team_B,1141469
447,447,1,24,31,True,54.71,29.85,63.74,1.5,Pass,Team_B_Player_2,Defender,Team_B,1141545
448,448,1,24,34,True,61.64,5.98,44.31,21.49,Pass,Team_B_Player_4,Defender,Team_B,1141644
449,449,1,24,37,True,45.78,21.08,102.69,12.51,Pass,Team_B_Player_2,Defender,Team_B,1141707
450,450,1,24,42,False,102.48,12.51,100.49,33.59,Pass,Team_B_Player_5,Striker,Team_B,1141821
451,451,1,24,44,True,89.56,31.76,105.0,42.02,Miss,Team_B_Player_9,Striker,Team_B,1141870
452,452,1,24,46,True,-0.73,27.47,-0.73,27.47,Out,Team_A_Player_7,Midfielder,Team_A,1141920
453,453,1,24,46,False,105.74,40.53,105.74,40.53,Out,Team_B_Player_9,Striker,Team_B,1141920
454,454,1,25,18,True,5.14,33.8,66.15,55.35,Pass,Team_A_Player_0,Goalkeeper,Team_A,1142726
455,455,1,25,22,True,39.16,14.82,39.16,14.82,Foul,Team_B_Player_2,Defender,Team_B,1142820
456,456,1,25,22,False,65.83,53.18,65.83,53.18,Foul,Team_A_Player_10,Striker,Team_A,1142820
457,457,1,25,38,True,0.0,0.0,0.0,0.0,Card,Team_A_Player_10,Striker,Team_A,1143244
458,458,1,28,50,True,43.78,19.38,46.1,43.04,Pass,Team_B_Player_2,Defender,Team_B,1148044
459,459,1,28,51,True,48.61,38.49,49.77,57.32,Pass,Team_B_Player_6,Midfielder,Team_B,1148049
460,460,1,28,54,True,55.12,59.98,68.04,64.46,Pass,Team_B_Player_3,Defender,Team_B,1148120
